Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
696ac038349fe687d3eb4191,5d49a0b751695e0001a188a8,RETURNED,Not Applicable,2026-01-16T22:48:28.275000Z,,,,,,12119,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ac11414a0d155c94ef715,62c4dbae8fb1ff9cd93a3150,REJECTED,Not Applicable,2026-01-16T22:52:07.769000Z,2026-01-16T22:57:05.880000Z,2026-01-17T01:10:10.653000Z,2026-01-16T22:57:06.485000Z,299.0,NOCODE,9374,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ac12186d3e4ebdd47ea9e,6616d9fdba3ae8945cba4a08,RETURNED,Not Applicable,2026-01-16T22:55:05.130000Z,,,,,,3640,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ac13186d3e4ebdd47eaa1,656ea0d1171b158205065fbb,RETURNED,Not Applicable,2026-01-16T22:52:38.837000Z,,,,,,4942,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ac19e7f49ddd570a50b79,674ccb6d3e0f8aad13b7b885,RETURNED,Not Applicable,2026-01-16T23:05:00.023000Z,,,,,,429,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ac1f2bdf2593b8c787775,5f35a7bf2d5fa01a8f08bbfb,RETURNED,Not Applicable,2026-01-16T22:55:49.924000Z,,,,,,3636,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ac202cedc56d2024c202e,66dceb449e0e3f3b1f239b3b,RETURNED,Not Applicable,2026-01-16T22:56:11.502000Z,,,,,,1305,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ac20b35b13f07079d5ebb,5ec5a42a646f515ef0e3f68b,RETURNED,Not Applicable,2026-01-16T22:56:14.855000Z,,,,,,12781,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ac21db07ff06bec692454,5d1511f1e814b800016108a6,RETURNED,Not Applicable,2026-01-16T23:00:12.527000Z,,,,,,13488,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ac221b6d6dea7b447caed,65fb580ab7fbb2d518ee8eaa,RETURNED,Not Applicable,2026-01-16T23:07:00.024000Z,,,,,,5412,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ac376744682b95d2f8d01,67f2f50db04c6020f9118450,RETURNED,Not Applicable,2026-01-16T23:09:48.091000Z,,,,,,1073,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ac3f3cc95a832d93b4ebf,60e8a63f733f423be3da1846,RETURNED,Not Applicable,2026-01-16T23:04:25.414000Z,,,,,,2583,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ac407ccbd91ea5a79dd6a,674266199489985e76725087,RETURNED,Not Applicable,2026-01-16T23:04:44.045000Z,,,,,,1375,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ac4ab90f2123351b9d2d5,5884593bd920ed0001fdccb4,RETURNED,Not Applicable,2026-01-16T23:07:27.447000Z,,,,,,9197,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ac5156de88ba633278749,651090beae417ded35c4ef2f,RETURNED,Not Applicable,2026-01-16T23:09:09.124000Z,,,,,,6925,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ac5ac5e044f30fe30391f,634e1076f43266192b130e13,RETURNED,Not Applicable,2026-01-16T23:11:40.224000Z,,,,,,5685,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ac8b6e22d3da5c03dd1e6,6110db88c7cfdd69964de753,RETURNED,Not Applicable,2026-01-16T23:24:41.925000Z,,,,,,1564,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696acb8de4540c7703f29144,572bcf0d34b25a000edd2cf1,RETURNED,Not Applicable,2026-01-16T23:36:48.416000Z,,,,,,6373,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696acd66a5fdaf08b4e0cf79,5e07a0898dffa00ff1aaf60f,RETURNED,Not Applicable,2026-01-16T23:44:38.368000Z,,,,,,10591,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696acdb276fb0bf53aa767b4,65c18c789a79785086046517,RETURNED,Not Applicable,2026-01-16T23:45:58.354000Z,,,,,,3934,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ad30452bb94298a2c3aa5,6756552aee105de328a381b2,RETURNED,Not Applicable,2026-01-17T00:08:39.522000Z,,,,,,1018,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ad6479d5ac244f83c9b34,608bfa04767191aa4d57bfd8,RETURNED,Not Applicable,2026-01-17T00:22:34.783000Z,,,,,,18314,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ad8663de9af6a9abc43e6,60fdc73e9fc2f113dc1ff96d,RETURNED,Not Applicable,2026-01-17T00:31:36.828000Z,,,,,,10364,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
696ae5bbbf3c276bf56c74d5,673b8d1448db4a031a4a90b2,RETURNED,Not Applicable,2026-01-17T01:28:34.935000Z,,,,,,3387,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
